epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,10456.7,0.03827,0.94527,0.88305,0.76224,0.75449,0.8362,0.83619,0.16947,0.8093,0.32076,0.0029875,0.0029875,0.0029875
87,10576.7,0.03745,0.94563,0.88388,0.76169,0.75437,0.83642,0.8364,0.16308,0.81004,0.32158,0.002905,0.002905,0.002905
88,10696.6,0.03774,0.94423,0.88279,0.76116,0.75531,0.83655,0.83653,0.15829,0.81327,0.32263,0.0028225,0.0028225,0.0028225
89,10816.8,0.0364,0.92998,0.88291,0.75949,0.75707,0.83666,0.83662,0.15576,0.82155,0.32455,0.00274,0.00274,0.00274
90,10936.7,0.03606,0.93249,0.88216,0.76065,0.75633,0.83692,0.83642,0.15669,0.83883,0.32862,0.0026575,0.0026575,0.0026575
91,11056.6,0.03553,0.93155,0.88385,0.76163,0.75544,0.83718,0.83572,0.16002,0.85687,0.33457,0.002575,0.002575,0.002575
92,11177.1,0.03488,0.92836,0.884,0.75947,0.75698,0.83727,0.83422,0.16561,0.87143,0.34297,0.0024925,0.0024925,0.0024925
93,11296.8,0.03446,0.92762,0.88245,0.75729,0.7589,0.83734,0.83135,0.17318,0.87888,0.35379,0.00241,0.00241,0.00241
94,11416.8,inf,0.9193,0.8844,0.75571,0.76168,0.83748,0.82891,0.18171,0.87762,0.36566,0.0023275,0.0023275,0.0023275
95,11537.1,0.0337,0.92495,0.88413,0.75605,0.76322,0.83766,0.82817,0.18932,0.86926,0.37621,0.002245,0.002245,0.002245
96,11657.1,inf,0.91548,0.88587,0.75527,0.76484,0.83769,0.82778,0.19478,0.85625,0.38411,0.0021625,0.0021625,0.0021625
97,11777,0.03367,0.91858,0.88303,0.75379,0.76698,0.83786,0.82842,0.19801,0.84534,0.38875,0.00208,0.00208,0.00208
98,11897.4,0.03334,0.91296,0.88328,0.75654,0.76365,0.83799,0.82886,0.2004,0.83561,0.39253,0.0019975,0.0019975,0.0019975
99,12017.4,inf,0.90764,0.88468,0.76402,0.75643,0.83811,0.82918,0.20214,0.8242,0.3955,0.001915,0.001915,0.001915
100,12137.3,0.03225,0.90286,0.88237,0.76143,0.75802,0.83821,0.82939,0.20297,0.81614,0.39709,0.0018325,0.0018325,0.0018325
101,12257.9,inf,0.90145,0.88453,0.76365,0.75607,0.83825,0.82932,0.20364,0.80973,0.39836,0.00175,0.00175,0.00175
102,12377.8,0.03114,0.89551,0.88414,0.76265,0.75714,0.83841,0.82964,0.20404,0.80476,0.39919,0.0016675,0.0016675,0.0016675
103,12497.6,0.03119,0.89413,0.88379,0.76309,0.75836,0.83845,0.82999,0.20456,0.80007,0.40019,0.001585,0.001585,0.001585
104,12618,0.03084,0.89291,0.88319,0.76199,0.75949,0.83845,0.83001,0.20455,0.79708,0.40046,0.0015025,0.0015025,0.0015025
105,12738.2,inf,0.8949,0.88592,0.7661,0.75571,0.8385,0.83006,0.20465,0.79409,0.40075,0.00142,0.00142,0.00142
106,12858.1,0.0299,0.88027,0.88512,0.76669,0.75607,0.83848,0.83031,0.20502,0.79168,0.40119,0.0013375,0.0013375,0.0013375
107,12978.6,0.0298,0.88192,0.88343,0.76699,0.7559,0.83847,0.83072,0.20519,0.79094,0.40149,0.001255,0.001255,0.001255
108,13098.6,0.02941,0.8814,0.88266,0.76663,0.75645,0.83857,0.831,0.20504,0.79095,0.40144,0.0011725,0.0011725,0.0011725
109,13218.7,0.02936,0.87226,0.88351,0.76601,0.75695,0.83849,0.83142,0.20479,0.7911,0.40129,0.00109,0.00109,0.00109
110,13345.6,0.029,0.87196,0.88316,0.76186,0.76139,0.83852,0.83178,0.20451,0.79187,0.40107,0.0010075,0.0010075,0.0010075
111,13490,inf,0.35721,0.89846,0.75977,0.76347,0.83846,0.83173,0.20428,0.79222,0.40085,0.000925,0.000925,0.000925
112,13613,0.01855,0.30644,0.89753,0.76112,0.76213,0.83849,0.83239,0.2042,0.79371,0.40091,0.0008425,0.0008425,0.0008425
113,13732.9,inf,0.28702,0.89697,0.76164,0.7619,0.83849,0.83238,0.20416,0.79529,0.40108,0.00076,0.00076,0.00076
114,13851.7,0.01744,0.28341,0.89433,0.75916,0.76387,0.83851,0.8326,0.2039,0.79711,0.40099,0.0006775,0.0006775,0.0006775
115,13970.7,inf,0.2683,0.89653,0.75897,0.7634,0.83865,0.83301,0.2038,0.79906,0.40107,0.000595,0.000595,0.000595
116,14090.2,0.017,0.25236,0.89697,0.75451,0.76875,0.8387,0.83294,0.20356,0.80151,0.40103,0.0005125,0.0005125,0.0005125
117,14209.7,0.01654,0.25194,0.89726,0.75671,0.76589,0.83877,0.83296,0.20354,0.80389,0.40115,0.00043,0.00043,0.00043
118,14329.1,0.01662,0.23772,0.89524,0.75683,0.76511,0.83876,0.83306,0.20363,0.80647,0.40138,0.0003475,0.0003475,0.0003475
119,14448.3,0.01637,0.22896,0.8961,0.7637,0.75771,0.83871,0.83289,0.2037,0.80946,0.40161,0.000265,0.000265,0.000265
120,14567.7,0.01625,0.21584,0.89522,0.76332,0.75768,0.83857,0.83259,0.20394,0.81291,0.40202,0.0001825,0.0001825,0.0001825
